Datetime,AT_CH_MWh,DE_CH_MWh,FR_CH_MWh,IT_CH_MWh,CH_AT_MWh,CH_DE_MWh,CH_FR_MWh,CH_IT_MWh,Nettoimport
2017-01-01T00:00:00+0100,793,2953,0,1110,0,566,1451,0,2839
2017-01-01T01:00:00+0100,897,2969,0,1027,0,462,1174,0,3257
2017-01-01T02:00:00+0100,893,3557,0,963,0,621,1100,0,3692
2017-01-01T03:00:00+0100,981,3599,0,5,0,386,437,63,3699
2017-01-01T04:00:00+0100,1112,3859,0,0,0,442,391,519,3619
2017-01-01T05:00:00+0100,1118,3687,0,0,0,377,352,503,3573
2017-01-01T06:00:00+0100,1066,3503,0,0,0,391,464,462,3252
2017-01-01T07:00:00+0100,944,3685,0,0,0,480,659,625,2865
2017-01-01T08:00:00+0100,877,4113,0,0,0,573,498,462,3457
2017-01-01T09:00:00+0100,932,4303,0,0,0,614,695,520,3406
2017-01-01T10:00:00+0100,909,4222,0,0,0,648,952,253,3278
2017-01-01T11:00:00+0100,843,3659,0,0,0,553,1166,76,2707
2017-01-01T12:00:00+0100,849,3482,0,762,0,609,1180,0,3304
2017-01-01T13:00:00+0100,836,3388,0,816,0,650,1158,0,3232
2017-01-01T14:00:00+0100,930,3305,0,281,0,638,1350,0,2528
2017-01-01T15:00:00+0100,1134,3292,0,71,0,612,1182,0,2703
2017-01-01T16:00:00+0100,1084,3082,0,482,0,562,831,0,3255
2017-01-01T17:00:00+0100,1273,3418,0,182,0,642,1022,0,3209
2017-01-01T18:00:00+0100,1320,3078,0,411,0,704,1829,0,2276
2017-01-01T19:00:00+0100,1111,2860,0,510,0,737,2067,0,1677
2017-01-01T20:00:00+0100,1054,3171,0,576,0,695,1629,0,2477
2017-01-01T21:00:00+0100,958,3249,0,320,0,654,1453,0,2420
2017-01-01T22:00:00+0100,984,3095,0,894,0,631,1502,0,2840
2017-01-01T23:00:00+0100,921,3407,0,1161,0,663,1126,0,3700
2017-01-02T00:00:00+0100,476,2476,0,1493,0,371,531,0,3543
2017-01-02T01:00:00+0100,582,2936,0,1032,0,422,114,0,4014
2017-01-02T02:00:00+0100,542,2989,23,847,0,376,0,0,4025
2017-01-02T03:00:00+0100,620,3109,349,357,0,358,0,0,4077
2017-01-02T04:00:00+0100,694,3241,333,131,0,399,0,0,4000
2017-01-02T05:00:00+0100,640,3223,416,45,0,343,0,0,3981
2017-01-02T06:00:00+0100,440,3088,52,226,0,430,0,0,3376
2017-01-02T07:00:00+0100,263,2706,0,358,0,391,561,0,2375
2017-01-02T08:00:00+0100,285,2633,0,225,0,546,1373,0,1224
2017-01-02T09:00:00+0100,507,2903,0,250,0,635,1491,0,1534
2017-01-02T10:00:00+0100,595,2699,0,506,0,656,1536,0,1608
2017-01-02T11:00:00+0100,709,2404,0,509,0,629,1592,0,1401
2017-01-02T12:00:00+0100,662,2366,0,953,0,597,1597,0,1787
2017-01-02T13:00:00+0100,466,1888,0,950,0,517,1610,0,1177
2017-01-02T14:00:00+0100,661,2249,0,600,0,520,1473,0,1517
2017-01-02T15:00:00+0100,820,2662,0,319,0,491,713,0,2597
2017-01-02T16:00:00+0100,933,2773,0,0,0,431,805,466,2004
2017-01-02T17:00:00+0100,528,2053,0,0,0,411,1110,562,498
2017-01-02T18:00:00+0100,437,1874,0,127,0,396,1289,0,753
2017-01-02T19:00:00+0100,353,2296,0,195,0,488,1435,0,921
2017-01-02T20:00:00+0100,298,2739,0,0,0,477,1290,118,1152
2017-01-02T21:00:00+0100,503,3278,0,355,0,577,1047,0,2512
2017-01-02T22:00:00+0100,665,3450,0,645,0,601,889,0,3270
2017-01-02T23:00:00+0100,654,2920,0,992,0,463,910,0,3193
2017-01-03T00:00:00+0100,588,2727,0,1515,0,396,386,0,4048
2017-01-03T01:00:00+0100,597,2962,0,1534,0,419,262,0,4412
2017-01-03T02:00:00+0100,557,3194,0,1297,0,427,207,0,4414
2017-01-03T03:00:00+0100,611,3646,0,913,0,496,277,0,4397
2017-01-03T04:00:00+0100,563,3478,11,649,0,426,0,0,4275
2017-01-03T05:00:00+0100,488,3179,128,1085,0,417,0,0,4463
2017-01-03T06:00:00+0100,569,3093,0,1138,0,499,446,0,3855
2017-01-03T07:00:00+0100,135,2484,0,1301,0,551,1103,0,2266
2017-01-03T08:00:00+0100,269,2269,0,1076,0,594,1336,0,1684
2017-01-03T09:00:00+0100,281,2153,0,1141,0,603,1319,0,1653
2017-01-03T10:00:00+0100,32,2059,0,1315,0,548,1088,0,1770
2017-01-03T11:00:00+0100,0,1863,0,1644,204,529,1186,0,1588
2017-01-03T12:00:00+0100,0,1795,0,2113,255,514,1277,0,1862
2017-01-03T13:00:00+0100,0,1742,0,2129,292,484,1388,0,1707
2017-01-03T14:00:00+0100,0,1852,0,2104,234,483,1279,0,1960
2017-01-03T15:00:00+0100,0,1760,0,1970,164,392,1078,0,2096
2017-01-03T16:00:00+0100,0,1737,0,1478,186,383,1129,0,1517
2017-01-03T17:00:00+0100,0,1518,0,889,261,459,1568,0,119
2017-01-03T18:00:00+0100,0,1322,0,1040,523,477,1558,0,-196
2017-01-03T19:00:00+0100,0,1503,0,986,510,491,1473,0,15
2017-01-03T20:00:00+0100,0,2009,0,1125,443,415,907,0,1369
2017-01-03T21:00:00+0100,0,2121,0,1629,187,497,1273,0,1793
2017-01-03T22:00:00+0100,0,2385,0,1645,144,556,1339,0,1991
2017-01-03T23:00:00+0100,0,1958,0,1757,107,383,1376,0,1849
2017-01-04T00:00:00+0100,115,2400,0,1271,0,379,1114,0,2293
2017-01-04T01:00:00+0100,385,2738,0,1397,0,389,708,0,3423
2017-01-04T02:00:00+0100,375,2835,0,1393,0,369,270,0,3964
2017-01-04T03:00:00+0100,431,3239,232,702,0,439,0,0,4165
2017-01-04T04:00:00+0100,517,3042,328,558,0,345,0,0,4100
2017-01-04T05:00:00+0100,352,2530,0,1327,0,303,307,0,3599
2017-01-04T06:00:00+0100,26,2753,0,616,0,384,883,0,2128
2017-01-04T07:00:00+0100,0,2224,0,1120,246,456,1363,0,1279
2017-01-04T08:00:00+0100,0,2159,0,1043,92,528,1376,0,1206
2017-01-04T09:00:00+0100,0,1957,0,1380,196,524,1317,0,1300
2017-01-04T10:00:00+0100,0,1920,0,1376,282,504,1235,0,1275
